Impact Place,Disaster Type,Disaster Size in Meters,Impact Size in persons,Ambulance,Police,FireTruck,Buses,Helicopter
School,Chemical Hazard,25,50,2,2,1,1,0
Library,Flood,20,15,1,1,1,0,0
Stadium,Earthquake,400,1000,12,8,6,6,3
Restaurant,Explosion,30,50,2,1,2,1,0
Park,Terrorist Activity,100,500,6,4,3,2,1
Hotel,Tornado,75,150,5,3,2,2,1
Apartment,Tornado,25,30,2,1,1,1,0
Building,Fire,100,200,5,3,3,2,1
School,Earthquake,150,500,8,5,4,3,2
Library,Chemical Hazard,30,40,2,1,1,1,0
Stadium,Flood,500,1500,16,10,8,8,4
Restaurant,Chemical Hazard,20,30,1,1,1,0,0
Park,Explosion,150,700,8,5,4,3,2
Hotel,Terrorist Activity,50,100,4,3,2,1,1
Apartment,Explosion,20,15,1,1,1,0,0
Building,Tornado,75,150,5,3,2,2,1
School,Flood,50,100,3,2,1,1,0
Library,Earthquake,50,100,3,2,1,1,0
Stadium,Chemical Hazard,200,500,8,5,4,3,2
Apartment,Fire,200,3,1,2,1,1,0
Apartment,Fire,200,10,2,5,1,1,0
Building,Fire,500,5,1,2,1,1,0
Building,Fire,500,50,5,10,2,2,0
School,Fire,1000,20,2,10,1,1,0
School,Fire,1000,150,10,20,2,5,0
Library,Fire,200,10,2,20,1,1,0
Library,Fire,200,100,2,20,2,5,0
Stadium,Fire,2000,500,10,20,2,10,1
Stadium,Fire,2000,10000,20,100,5,20,1
Restaurant,Fire,800,20,2,5,2,1,0
Restaurant,Fire,800,100,5,10,2,2,0
Park,Fire,400,5,1,5,1,1,0
Park,Fire,400,20,5,10,1,1,0
Hotel,Fire,500,5,1,5,2,1,0
Hotel,Fire,500,50,2,10,2,2,0
Apartment,Exlposion,500,3,2,5,1,1,0
Apartment,Exlposion,500,10,5,10,1,1,0
Building,Exlposion,1000,5,2,10,2,1,0
Building,Exlposion,1000,50,5,10,2,2,0
School,Exlposion,2000,20,2,20,2,1,0
School,Exlposion,2000,150,10,20,2,5,0
Library,Exlposion,1000,10,2,20,2,1,0
Library,Exlposion,1000,100,10,30,2,5,0
Stadium,Exlposion,3000,500,10,100,5,5,1
Stadium,Exlposion,3000,10000,30,100,5,20,1
Park,Explosion,1000,20,2,10,2,1,0
Park,Explosion,1000,100,10,10,2,5,0
Restaurant,Exlposion,1000,5,1,10,1,1,0
Restaurant,Exlposion,1000,20,4,10,1,1,0
Hotel,Exlposion,1500,5,1,10,2,1,0
Hotel,Exlposion,1500,50,5,10,2,2,0
Apartment,Flood,1000,3,1,5,0,1,0
Apartment,Flood,1000,10,3,5,0,1,0
Building,Flood,1000,5,1,10,0,1,0
Building,Flood,1000,50,5,10,0,2,0
School,Flood,2000,20,1,20,0,1,0
School,Flood,2000,150,10,20,0,5,0
Library,Flood,2000,10,2,20,0,1,0
Library,Flood,2000,100,10,20,0,5,0
Stadium,Flood,3000,500,2,100,0,10,1
Stadium,Flood,3000,10000,50,100,0,20,1
Park,Flood,2000,20,1,10,0,1,0
Park,Flood,2000,100,5,10,0,5,0
Restaurant,Flood,1000,5,1,10,0,1,0
Restaurant,Flood,1000,20,5,10,0,1,0
Hotel,Flood,500,5,1,10,0,1,0
Hotel,Flood,500,50,5,10,0,2,0
Apartment,Chemical Hazard,500,3,1,5,0,1,0
Apartment,Chemical Hazard,500,10,2,5,0,1,0
Building,Chemical Hazard,1000,5,1,10,0,1,0
Building,Chemical Hazard,1000,50,5,10,0,2,0
School,Chemical Hazard,2000,20,2,20,0,1,0
School,Chemical Hazard,2000,150,10,20,0,5,0
Library,Chemical Hazard,1000,10,1,20,0,1,0
Library,Chemical Hazard,1000,100,5,20,0,5,0
Park,Chemical Hazard,2000,500,10,100,0,10,1
Park,Chemical Hazard,2000,10000,50,100,0,20,1
Stadium,Chemical Hazard,3000,20,1,10,0,1,0
Stadium,Chemical Hazard,3000,100,5,10,0,5,0
Restaurant,Chemical Hazard,1000,5,1,10,0,1,0
Restaurant,Chemical Hazard,1000,20,4,10,0,1,0
Hotel,Chemical Hazard,1500,5,1,10,0,1,0
Hotel,Chemical Hazard,1500,50,5,10,0,1,0
Apartment,Terrorist Activity,2000,3,1,5,1,1,0
Apartment,Terrorist Activity,2000,10,2,5,1,1,0
Building,Terrorist Activity,2000,5,1,10,1,1,0
Building,Terrorist Activity,2000,50,5,10,1,2,0
School,Terrorist Activity,2000,20,2,20,1,1,0
School,Terrorist Activity,2000,150,10,20,1,5,0
Library,Terrorist Activity,2000,10,2,20,1,1,0
Library,Terrorist Activity,2000,100,5,20,1,5,0
Park,Terrorist Activity,3000,500,10,100,1,10,0
Park,Terrorist Activity,3000,10000,50,100,1,20,0
Stadium,Terrorist Activity,3000,20,2,10,1,1,0
Stadium,Terrorist Activity,3000,100,5,10,1,5,0
Restaurant,Terrorist Activity,2000,5,1,10,1,1,0
Restaurant,Terrorist Activity,2000,20,2,10,1,1,0
Hotel,Terrorist Activity,2000,5,1,10,1,1,0
Hotel,Terrorist Activity,2000,50,5,10,1,2,0
Hotel,Terrorist Activity,2000,50,5,10,1,2,0
